sample_id	subject_id	relation_id	timepoint
14792_33	512120	512120	4
14792_34	512120	512120	7
14792_35	512120	512120	9
14792_36	512120	512120	12
14792_37	512120	512120	21
14792_19	513122	513122	4
14792_20	513122	513122	6
14792_21	513122	513122	10
14792_22	513122	513122	12
14792_23	513122	513122	21
14795_56	513122	513122	0
14794_5	514123	514123	4
14794_6	514123	514123	7
14794_7	514123	514123	12
14794_8	514123	514123	14
14792_24	514124	514124	4
14792_25	514124	514124	6
14792_26	514124	514124	7
14792_27	514124	514124	8
14795_57	514124	514124	0
14795_59	515126	515126	0
14801_38	515126	515126	4
14801_39	515126	515126	7
14801_40	515126	515126	10
14801_41	515126	515126	11
14801_42	515126	515126	21
14795_60	515127	515127	0
14801_43	515127	515127	7
14795_62	519128	519128	0
14801_48	519128	519128	4
14801_49	519128	519128	7
14801_50	519128	519128	12
14801_51	519128	519128	14
14801_52	519128	519128	18
14801_53	519128	519128	21
14794_14	519129	519129	4
14794_15	519129	519129	7
14794_16	519129	519129	12
14794_17	519129	519129	14
14794_18	519129	519129	21
14795_55	519129	519129	0
14794_1	521130	521130	4
14794_2	521130	521130	10
14794_3	521130	521130	12
14794_4	521130	521130	21
14795_54	521130	521130	0
14794_10	523133	523133	7
14794_11	523133	523133	9
14794_12	523133	523133	11
14794_13	523133	523133	13
14794_9	523133	523133	4
14795_61	604136	604136	0
14801_44	604136	604136	7
14801_45	604136	604136	10
14801_46	604136	604136	11
14801_47	604136	604136	14
14792_28	606141	606141	4
14792_29	606141	606141	7
14792_30	606141	606141	8
14792_31	606141	606141	10
14792_32	606141	606141	12
14795_58	606141	606141	0
37082_4_5	A00009	A00009	7
20596_4_24	A00021_T2	A00021	4
20596_5_1	A00021_T2	A00021	7
20596_5_2	A00021_T1	A00021	21
20596_5_3	A00021_T2	A00021	21
20596_5_4	A00023	A00023	21
20727_7_23	A00031	A00031	7
20727_7_24	A00031	A00031	21
20596_5_12	A00043	A00043	4
20596_5_13	A00043	A00043	7
20596_5_14	A00043	A00043	21
20596_5_15	A00044	A00044	7
20596_5_16	A00044	A00044	21
20727_3_10	A00067	A00067	7
20727_3_11	A00067	A00067	21
20727_4_22	A00105	A00105	7
20727_4_23	A00105	A00105	21
20727_5_17	A00106	A00106	0
20727_5_18	A00106_T1	A00106	21
20727_5_19	A00106_T2	A00106	21
37082_4_11	A00130	A00130	4
37082_4_13	A00133	A00133	21
20727_5_3	A00134	A00134	0
20727_5_4	A00134	A00134	21
37082_4_16	A00135	A00135	7
25013_1_1	A00155	A00155	7
25076_6_1	A00155	A00155	100
37273_3_19	A00155	A00155	21
37081_1_19	A00156	A00156	7
20727_7_7	A00163	A00163	0
20727_7_8	A00163	A00163	4
20727_6_18	A00185	A00185	0
20727_6_19	A00185	A00185	4
20727_6_20	A00185	A00185	7
20727_7_13	A00190	A00190	4
20727_7_14	A00190	A00190	7
21127_3_19	A00190	A00190	21
37082_4_20	A00213	A00213	7
20727_7_15	A00217	A00217	4
20727_7_16	A00217	A00217	7
20727_7_17	A00219	A00219	4
20727_7_18	A00219	A00219	7
21127_3_15	A00219	A00219	21
37081_1_2	A00256	A00256	4
37081_1_4	A00256	A00256	14
37082_4_29	A00256	A00256	7
37035_5_24	A00259	A00259	7
22178_3_1	A00502	A00502	21
22178_3_2	A00502	A00502	4
22178_3_3	A00502	A00502	7
24211_7_21	A00502	A00502	100
37081_1_6	A00519	A00519	7
37273_7_22	A00525	A00525	4
21127_4_4	A00539	A00539	0
21127_4_9	A00539	A00539	7
21127_4_10	A00541	A00541	4
21127_5_10	A00541	A00541	21
21127_5_6	A00541	A00541	7
37081_1_11	A00544	A00544	7
21127_4_16	A00559	A00559	4
21127_4_18	A00559	A00559	7
21242_71	A00559	A00559	21
21127_4_13	A00570	A00570	0
21127_4_22	A00570	A00570	4
21242_72	A00570	A00570	7
21127_4_20	A00574	A00574	4
21127_5_2	A00574	A00574	7
21242_73	A00574	A00574	21
21127_4_14	A00576	A00576	0
21127_5_5	A00576	A00576	4
21127_6_5	A00576	A00576	21
