sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000001	346095	217900	62.9596	217737	99.9252	217736	99.9995	163	0.0748	217899	99.9995	178	0.0817	177	99.4382	21	11.7978	59	33.1461	97	54.4944	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000002	198810	120560	60.6408	120442	99.9021	120442	100.0000	118	0.0979	120560	100.0000	120	0.0995	120	100.0000	7	5.8333	74	61.6667	39	32.5000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000003	152040	95003	62.4855	94883	99.8737	94883	100.0000	120	0.1263	95003	100.0000	120	0.1263	120	100.0000	8	6.6667	65	54.1667	47	39.1667	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000004	139330	67679	48.5746	67198	99.2893	67161	99.9449	481	0.7107	67642	99.9453	571	0.8437	534	93.5201	117	20.4904	133	23.2925	65	11.3835	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000005	107791	39897	37.0133	39814	99.7920	39796	99.9548	83	0.2080	39879	99.9549	148	0.3710	130	87.8378	59	39.8649	21	14.1892	45	30.4054	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000006	88576	64632	72.9678	64573	99.9087	64573	100.0000	59	0.0913	64632	100.0000	62	0.0959	62	100.0000	15	24.1935	44	70.9677	2	3.2258	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000007	85683	57418	67.0121	57373	99.9216	57372	99.9983	45	0.0784	57417	99.9983	49	0.0853	48	97.9592	3	6.1224	42	85.7143	5	10.2041	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000008	77151	22929	29.7196	22877	99.7732	22870	99.9694	52	0.2268	22922	99.9695	89	0.3882	82	92.1348	39	43.8202	27	30.3371	17	19.1011	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000009	76464	50318	65.8061	50283	99.9304	50283	100.0000	35	0.0696	50318	100.0000	52	0.1033	52	100.0000	24	46.1538	23	44.2308	5	9.6154	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000010	60027	36203	60.3112	36198	99.9862	36198	100.0000	5	0.0138	36203	100.0000	6	0.0166	6	100.0000	2	33.3333	3	50.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
