# simulation command: /data1/gerryt/tracm/scripts/tracm-sim.py -t 5 --genomes ./mu_genomes/GCF_000160055.1_ASM16005v1_genomic.fna ./mu_genomes/GCF_000240185.1_ASM24018v2_genomic.fna ./mu_genomes/GCF_000307345.1_Para_merd_CL03T12C32_V1_genomic.fna ./mu_genomes/GCF_002234575.2_ASM223457v2_genomic.fna ./mu_genomes/GCF_003641185.1_ASM364118v1_genomic.fna ./mu_genomes/GCF_009731575.1_ASM973157v1_genomic.fna ./mu_genomes/GCF_009734005.1_ASM973400v2_genomic.fna ./mu_genomes/GCF_015560805.1_ASM1556080v1_genomic.fna ./mu_genomes/GCF_018292125.1_ASM1829212v1_genomic.fna ./mu_genomes/GCF_018292165.1_ASM1829216v1_genomic.fna --tran-genome ./mu_genomes/GCF_000307345.1_Para_merd_CL03T12C32_V1_genomic.fna -d 500 -b 10000 -n 5 -o sim_d500_ref_GCF_000307345.1_Para_merd_CL03T12C32_V1_genomic --prefix sim_d500_ref_GCF_000307345.1_Para_merd_CL03T12C32_V1_genomic
genome,propA,propB,distance
GCF_000160055.1_ASM16005v1_genomic,0.0,0.0,10108
GCF_000240185.1_ASM24018v2_genomic,0.6617213642080096,0.11616413523341021,9990
GCF_000307345.1_Para_merd_CL03T12C32_V1_genomic,0.10932845504948331,0.49013168009910046,500
GCF_002234575.2_ASM223457v2_genomic,0.0,0.0,10035
GCF_003641185.1_ASM364118v1_genomic,0.0,0.0,10070
GCF_009731575.1_ASM973157v1_genomic,0.08028515369216042,0.09362694783754007,9934
GCF_009734005.1_ASM973400v2_genomic,0.0,0.019761006780278673,9951
GCF_015560805.1_ASM1556080v1_genomic,0.0,0.0,9976
GCF_018292125.1_ASM1829212v1_genomic,0.14866502705034673,0.0,9901
GCF_018292165.1_ASM1829216v1_genomic,0.0,0.2803162300496706,10008
