sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000001	346095	241037	69.6448	240866	99.9291	240856	99.9958	171	0.0709	241027	99.9959	201	0.0834	191	95.0249	25	12.4378	4	1.9900	165	82.0896	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000002	198810	131066	65.9253	130796	99.7940	130796	100.0000	270	0.2060	131066	100.0000	273	0.2083	273	100.0000	6	2.1978	3	1.0989	263	96.3370	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000003	152040	106637	70.1375	106414	99.7909	106413	99.9991	223	0.2091	106636	99.9991	226	0.2119	225	99.5575	7	3.0973	3	1.3274	213	94.2478	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000004	139330	88894	63.8010	88607	99.6771	88350	99.7100	287	0.3229	88637	99.7109	878	0.9877	621	70.7289	368	41.9134	354	40.3189	68	7.7449	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000005	107791	53591	49.7175	53457	99.7500	53442	99.9719	134	0.2500	53576	99.9720	276	0.5150	261	94.5652	130	47.1014	13	4.7101	103	37.3188	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000006	88576	69440	78.3960	69356	99.8790	69356	100.0000	84	0.1210	69440	100.0000	86	0.1238	86	100.0000	14	16.2791	3	3.4884	68	79.0698	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000007	85683	66575	77.6992	66503	99.8919	66503	100.0000	72	0.1081	66575	100.0000	76	0.1142	76	100.0000	6	7.8947	0	0.0000	69	90.7895	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000008	77151	28391	36.7993	28293	99.6548	28291	99.9929	98	0.3452	28389	99.9930	152	0.5354	150	98.6842	68	44.7368	6	3.9474	65	42.7632	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000009	76464	54970	71.8900	54938	99.9418	54938	100.0000	32	0.0582	54970	100.0000	49	0.0891	49	100.0000	19	38.7755	2	4.0816	25	51.0204	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000010	60027	40331	67.1881	40251	99.8016	40251	100.0000	80	0.1984	40331	100.0000	82	0.2033	82	100.0000	4	4.8780	0	0.0000	78	95.1220	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000011	59861	43770	73.1194	43679	99.7921	43673	99.9863	91	0.2079	43764	99.9863	98	0.2239	92	93.8776	1	1.0204	3	3.0612	93	94.8980	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000012	49199	16948	34.4479	16919	99.8289	16907	99.9291	29	0.1711	16936	99.9292	170	1.0031	158	92.9412	130	76.4706	12	7.0588	7	4.1176	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000013	48716	28788	59.0935	28749	99.8645	28749	100.0000	39	0.1355	28788	100.0000	44	0.1528	44	100.0000	5	11.3636	0	0.0000	39	88.6364	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000014	46832	32351	69.0788	32205	99.5487	32205	100.0000	146	0.4513	32351	100.0000	149	0.4606	149	100.0000	6	4.0268	0	0.0000	139	93.2886	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000015	46688	23086	49.4474	23051	99.8484	23051	100.0000	35	0.1516	23086	100.0000	67	0.2902	67	100.0000	32	47.7612	0	0.0000	34	50.7463	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000016	45286	33606	74.2084	33549	99.8304	33549	100.0000	57	0.1696	33606	100.0000	58	0.1726	58	100.0000	1	1.7241	0	0.0000	57	98.2759	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000017	44768	10663	23.8184	10648	99.8593	10648	100.0000	15	0.1407	10663	100.0000	15	0.1407	15	100.0000	2	13.3333	8	53.3333	5	33.3333	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000018	43787	17470	39.8977	17423	99.7310	17423	100.0000	47	0.2690	17470	100.0000	63	0.3606	63	100.0000	20	31.7460	8	12.6984	27	42.8571	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000019	42369	27789	65.5880	27706	99.7013	27706	100.0000	83	0.2987	27789	100.0000	84	0.3023	84	100.0000	1	1.1905	6	7.1429	76	90.4762	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000020	41812	33036	79.0108	32891	99.5611	32891	100.0000	145	0.4389	33036	100.0000	150	0.4541	150	100.0000	15	10.0000	0	0.0000	134	89.3333	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000021	40532	11803	29.1202	11803	100.0000	11802	99.9915	0	0.0000	11802	99.9915	15	0.1271	14	93.3333	14	93.3333	0	0.0000	1	6.6667	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000022	40133	26921	67.0795	26919	99.9926	26919	100.0000	2	0.0074	26921	100.0000	3	0.0111	3	100.0000	1	33.3333	0	0.0000	2	66.6667	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000023	36114	26689	73.9021	26683	99.9775	26683	100.0000	6	0.0225	26689	100.0000	7	0.0262	7	100.0000	1	14.2857	0	0.0000	5	71.4286	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000024	25115	20570	81.9032	20523	99.7715	20523	100.0000	47	0.2285	20570	100.0000	48	0.2333	48	100.0000	1	2.0833	0	0.0000	47	97.9167	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000025	24809	19887	80.1604	19835	99.7385	19835	100.0000	52	0.2615	19887	100.0000	54	0.2715	54	100.0000	2	3.7037	0	0.0000	52	96.2963	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000026	19767	11926	60.3329	11925	99.9916	11925	100.0000	1	0.0084	11926	100.0000	2	0.0168	2	100.0000	1	50.0000	0	0.0000	1	50.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000027	18794	15730	83.6969	15730	100.0000	15730	100.0000	0	0.0000	15730	100.0000	2	0.0127	2	100.0000	2	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000028	17812	8630	48.4505	8605	99.7103	8605	100.0000	25	0.2897	8630	100.0000	25	0.2897	25	100.0000	0	0.0000	0	0.0000	25	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000029	17766	12846	72.3067	12833	99.8988	12833	100.0000	13	0.1012	12846	100.0000	13	0.1012	13	100.0000	6	46.1538	3	23.0769	4	30.7692	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000030	12203	9165	75.1045	9165	100.0000	9165	100.0000	0	0.0000	9165	100.0000	2	0.0218	2	100.0000	2	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000031	10176	7741	76.0711	7733	99.8967	7733	100.0000	8	0.1033	7741	100.0000	9	0.1163	9	100.0000	1	11.1111	0	0.0000	8	88.8889	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000032	7598	6053	79.6657	6045	99.8678	6045	100.0000	8	0.1322	6053	100.0000	8	0.1322	8	100.0000	0	0.0000	1	12.5000	7	87.5000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000033	6179	2137	34.5849	2132	99.7660	2132	100.0000	5	0.2340	2137	100.0000	10	0.4679	10	100.0000	5	50.0000	0	0.0000	3	30.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000034	5934	4964	83.6535	4914	98.9927	4914	100.0000	50	1.0073	4964	100.0000	51	1.0274	51	100.0000	1	1.9608	2	3.9216	48	94.1176	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000035	4119	3185	77.3246	3182	99.9058	3182	100.0000	3	0.0942	3185	100.0000	3	0.0942	3	100.0000	0	0.0000	0	0.0000	3	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000036	2475	1710	69.0909	1704	99.6491	1704	100.0000	6	0.3509	1710	100.0000	6	0.3509	6	100.0000	4	66.6667	1	16.6667	1	16.6667	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000037	2109	1266	60.0284	1247	98.4992	1247	100.0000	19	1.5008	1266	100.0000	19	1.5008	19	100.0000	7	36.8421	8	42.1053	4	21.0526	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000038	878	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000039	782	760	97.1867	760	100.0000	760	100.0000	0	0.0000	760	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000040	662	654	98.7915	652	99.6942	652	100.0000	2	0.3058	654	100.0000	3	0.4587	3	100.0000	1	33.3333	1	33.3333	1	33.3333	0	0.0000	0	0.0000	1.0000
