scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GUT_GENOME000655_38	271	333	6	0
GUT_GENOME000655_14	28038	154514	124	116
GUT_GENOME000655_11	51797	203470	176	163
GUT_GENOME000655_20	13916	69428	56	56
GUT_GENOME000655_19	16575	79590	105	103
GUT_GENOME000655_5	63747	303016	233	219
GUT_GENOME000655_3	101725	431869	385	377
GUT_GENOME000655_26	358	12966	2	2
GUT_GENOME000655_16	15382	142305	17	14
GUT_GENOME000655_9	52807	251800	195	177
GUT_GENOME000655_4	126738	422611	461	451
GUT_GENOME000655_2	95495	466434	291	285
GUT_GENOME000655_13	17099	155482	68	60
GUT_GENOME000192_9	118275	132150	118	113
GUT_GENOME000192_8	186469	231598	293	277
GUT_GENOME000192_15	657	12177	4	3
GUT_GENOME000192_13	10642	32798	2	2
GUT_GENOME000655_1	132776	486372	436	428
GUT_GENOME000192_5	288894	385774	382	353
GUT_GENOME000192_17	2939	4216	3	3
GUT_GENOME000192_4	391102	478658	502	460
GUT_GENOME000655_7	57674	269567	125	124
GUT_GENOME000655_6	35694	285921	267	266
GUT_GENOME000192_11	36623	58259	95	93
GUT_GENOME000655_8	29269	267670	217	207
GUT_GENOME000192_10	54144	98619	139	134
GUT_GENOME000655_10	66092	207448	318	299
GUT_GENOME000192_19	403	426	9	8
GUT_GENOME000655_25	3841	14646	38	32
GUT_GENOME000192_16	4864	6942	18	17
GUT_GENOME000655_22	2317	31149	21	21
GUT_GENOME000192_14	19272	25980	28	25
GUT_GENOME000655_17	8011	118732	50	50
GUT_GENOME000655_28	2525	5022	46	24
GUT_GENOME000192_7	134297	301546	229	218
GUT_GENOME000655_23	1490	24600	39	39
GUT_GENOME000655_34	381	419	1	0
GUT_GENOME000655_18	3490	85383	63	63
GUT_GENOME000655_12	24075	178640	145	142
GUT_GENOME000192_12	31054	43922	55	52
GUT_GENOME000655_29	805	4259	6	6
GUT_GENOME000655_15	18381	149952	223	210
GUT_GENOME000192_3	405353	533644	584	533
