sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
sampleA	sampleB	GCF_000160055.1_ASM16005v1_genomic	NZ_GG698602.1	1895960	1864688	98.3506	1864677	99.9994	1864652	99.9987	11	0.0006	1864663	99.9987	36	0.0019	11	30.5556	0	0.0000	0	0.0000	36	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_003641185.1_ASM364118v1_genomic	NZ_CP032757.1	3622107	3586532	99.0178	3586532	100.0000	3581674	99.8645	0	0.0000	3581674	99.8645	4858	0.1355	0	0.0000	0	0.0000	0	0.0000	4858	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_003641185.1_ASM364118v1_genomic	NZ_CP032758.1	49266	43960	89.2299	43960	100.0000	43905	99.8749	0	0.0000	43905	99.8749	55	0.1251	0	0.0000	0	0.0000	0	0.0000	55	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_016902345.1_ASM1690234v1_genomic	NZ_JACJLR010000001.1	302259	302241	99.9940	302241	100.0000	301860	99.8739	0	0.0000	301860	99.8739	381	0.1261	0	0.0000	0	0.0000	0	0.0000	381	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_016902345.1_ASM1690234v1_genomic	NZ_JACJLR010000002.1	198148	198121	99.9864	198121	100.0000	197865	99.8708	0	0.0000	197865	99.8708	256	0.1292	0	0.0000	0	0.0000	0	0.0000	256	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_016902345.1_ASM1690234v1_genomic	NZ_JACJLR010000003.1	195925	195908	99.9913	195908	100.0000	195638	99.8622	0	0.0000	195638	99.8622	270	0.1378	0	0.0000	0	0.0000	0	0.0000	270	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_016902345.1_ASM1690234v1_genomic	NZ_JACJLR010000004.1	151853	151833	99.9868	151833	100.0000	151638	99.8716	0	0.0000	151638	99.8716	195	0.1284	0	0.0000	0	0.0000	0	0.0000	195	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_016902345.1_ASM1690234v1_genomic	NZ_JACJLR010000005.1	145870	145826	99.9698	145826	100.0000	145636	99.8697	0	0.0000	145636	99.8697	190	0.1303	0	0.0000	0	0.0000	0	0.0000	190	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_016902345.1_ASM1690234v1_genomic	NZ_JACJLR010000006.1	138137	138093	99.9681	138093	100.0000	137898	99.8588	0	0.0000	137898	99.8588	195	0.1412	0	0.0000	0	0.0000	0	0.0000	195	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_016902345.1_ASM1690234v1_genomic	NZ_JACJLR010000007.1	99280	99248	99.9678	99248	100.0000	99126	99.8771	0	0.0000	99126	99.8771	122	0.1229	0	0.0000	0	0.0000	0	0.0000	122	100.0000	0	0.0000	0	0.0000	1.0000
