scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
207_17175_8_65	38440	2206789	21	20
428_13415_4_13	29740	2118274	13	9
53_11791_1_59	55711	2193865	33	21
372_16288_4_19	43203	2081116	22	18
414_11679_1_83	36001	2119227	9	7
171_14410_8_19	34421	2173201	20	15
266_11511_8_86	37687	1984316	12	11
394_21999_8_64	38723	1975813	18	14
458_14913_7_88	37263	2141694	4	3
216_9716_7_4	88482	2161369	107	87
201_17870_7_93	39416	2084996	15	9
217_9789_5_40	44784	2082160	29	23
140_6486_5_20	26703	2071039	4	4
342_22841_2_175	28809	2154214	16	13
75_21946_6_155	30117	2075364	12	7
200_17150_4_89	79978	2058890	96	75
580_22114_6_56	49332	2151274	50	36
194_17175_8_36	73208	2065794	29	17
370_15608_3_30	64296	2141716	13	12
606_6641_6_4	57577	2150844	31	18
329_15731_8_86	34748	2130242	9	5
434_14410_6_74	26283	2136059	7	6
225_16288_7_69	71368	2117970	50	37
354_12837_1_56	33186	2053323	15	8
328_14936_5_26	38568	2175860	11	8
10_22027_1_37	40353	2088119	52	52
323_11658_2_89	38871	2127089	24	21
416_12291_1_71	28889	2064062	9	8
407_10395_5_18	33174	2163755	7	7
136_19084_8_41	34184	2059125	15	11
564_20925_3_80	45454	2088889	21	15
478_16288_3_64	51717	2099811	29	24
579_9789_3_70	46634	2150499	32	26
445_14555_3_68	43756	2031426	30	28
315_6470_6_16	46346	2131450	31	20
498_16288_8_25	90853	2054884	116	102
259_15995_1_102	34565	1990107	17	16
530_18090_1_68	43676	2184962	19	15
535_18456_1_118	53649	2270660	57	44
236_16288_8_57	30131	2021573	16	13
338_18090_1_62	40447	2107367	17	13
81_17150_4_6	62019	2175487	55	39
496_16288_8_20	54226	2082723	27	23
423_12837_2_83	34319	2151281	15	10
126_17059_7_71	42292	2068607	27	16
319_6938_7_6	39246	2045151	19	11
88_14520_5_11	44793	2089161	17	14
187_6673_8_22	25861	2004964	5	5
401_6631_3_12	53601	2153934	35	20
446_14555_4_13	33335	2000498	10	8
220_16453_2_18	32416	2015143	8	7
436_14410_7_55	32420	2125010	14	10
15_10071_4_42	34973	1985892	9	7
617_6972_4_10	41348	2004877	17	16
91_16453_2_39	43076	2125567	25	20
125_12837_1_13	33728	2124841	8	6
497_16288_8_23	52613	2067593	28	21
615_6841_7_15	56202	2083222	44	35
462_15378_2_47	28474	2045901	5	3
545_19084_7_79	31080	2100470	11	9
517_17794_7_27	210434	2027025	311	285
486_16288_6_22	78629	2062912	84	57
145_15841_3_56	30953	2056955	12	11
218_14936_5_56	43150	2053644	24	22
356_12837_2_32	30354	2196820	19	18
425_12837_4_74	23688	2037040	7	6
37_14410_8_18	25458	2111430	9	6
605_6631_3_9	66458	2139688	55	40
553_19341_3_39	38357	2149160	12	9
98_11657_4_51	31986	1979531	10	9
82_7054_4_16	41332	2106814	21	16
307_16288_6_15	50977	2117675	33	19
487_16288_6_23	52940	2124133	35	29
12_10071_4_16	36972	1978990	10	6
223_9789_2_42	47582	2101905	14	10
131_13154_2_74	27428	2012894	11	6
500_16288_8_39	49965	2066122	25	20
575_21999_7_130	36092	2048820	7	6
415_12290_3_2	45427	2112190	30	25
377_17428_8_140	31142	2109001	32	31
110_6805_3_7	30533	2058015	7	4
175_11791_1_6	31517	2061821	8	6
49_7553_5_90	38518	2071446	11	10
308_6983_7_64	33821	2074304	13	6
451_14673_4_24	35000	2229082	21	17
16_14673_2_9	30017	2047591	6	4
155_14555_3_8	31749	2040394	10	5
20_6753_2_5	95174	2162347	114	98
409_10395_5_40	69706	2122805	66	60
26_14410_4_34	44991	2115036	32	25
353_12378_2_64	27820	2153039	10	5
242_14913_3_66	36236	2087459	12	7
371_16288_3_43	40920	2007122	21	13
402_6664_1_14	49561	2120560	38	34
466_15731_8_50	39307	2129933	16	14
515_17150_6_23	39798	2177250	13	12
384_19084_7_27	59173	2187148	33	24
365_14913_6_73	25765	1990836	7	4
442_14520_6_33	30872	2145093	15	14
180_7004_7_62	49618	2147823	16	13
221_15873_4_5	45149	2136591	25	19
50_11860_8_54	26523	2077073	8	6
591_11860_5_19	38349	2088946	18	16
80_15873_2_42	29579	2087271	14	14
101_16288_6_5	45790	2050591	23	23
190_15378_3_12	29602	2197321	9	8
346_7011_3_17	34654	2013166	9	8
316_6470_6_20	34404	2108242	14	13
28_6840_3_5	65895	2076513	77	40
174_7054_5_2	25639	2087515	2	2
447_14555_4_27	55052	2116698	40	29
255_17150_4_25	32112	2140497	5	1
78_14520_7_15	39579	2089264	22	14
9_11791_1_52	392676	2057659	806	745
309_16288_8_34	55756	1977574	24	17
523_17870_7_141	219082	2090897	405	382
559_20925_3_2	80163	2242774	108	91
14_14555_3_65	37090	2100961	17	11
247_16288_3_59	49798	2077796	25	12
51_12837_2_27	41060	2011036	32	25
609_6730_7_7	45340	2085606	8	6
248_6259_5_7	51665	2151148	36	25
495_16288_7_79	64233	2111852	37	31
306_17059_6_10	251447	2189534	460	414
419_12291_3_47	34747	2126641	13	10
614_6840_3_21	62348	2054750	16	15
444_14520_7_44	21146	2132217	9	6
160_17150_4_84	34723	2120768	17	13
405_6823_4_8	68229	2146520	53	40
522_17794_8_68	30415	2050573	5	4
331_14410_7_57	24545	2132743	12	8
483_16288_4_80	52431	2080193	28	25
173_6753_4_18	42246	2113001	15	10
154_6680_4_17	38670	2036928	32	28
96_15531_5_92	38955	1978311	20	17
119_14673_1_59	36657	2091689	13	9
489_16288_6_72	52129	2050468	43	30
502_16288_8_58	44251	2145902	29	21
413_11658_1_89	31233	2255424	17	12
238_14913_3_38	175478	2080983	105	83
608_6730_7_17	49028	2113340	15	8
398_6259_7_19	46693	1925099	25	15
596_11861_3_2	37333	2124267	24	19
77_14555_3_93	26717	2157290	9	4
121_14520_4_19	41967	2143893	28	22
290_22667_8_48	35219	2160380	18	12
115_12291_3_35	46845	2147679	58	51
439_14520_6_13	23613	2167098	9	7
21_13470_1_90	49489	2148856	18	15
235_17794_7_174	276275	2156936	508	466
138_7011_3_5	41026	2139115	21	14
84_6807_1_12	58648	2060195	30	22
122_6710_8_6	35034	2131611	7	4
195_15873_2_24	28573	2097044	4	4
482_16288_4_45	51430	2067485	27	19
395_22027_1_38	54462	1926657	17	12
204_21242_2_138	36135	2189051	9	6
573_21127_2_26	29416	2085839	9	8
284_16288_8_61	36516	2096180	10	7
481_16288_4_44	30116	1996772	6	3
31_10071_4_11	38367	2075061	20	18
129_10395_5_46	41295	2155624	34	26
244_7038_7_22	41693	2094473	19	18
67_11861_5_61	52884	2013362	55	52
280_9789_3_66	36400	2157184	12	10
620_6512_2_10	85420	2137494	81	74
149_6259_7_5	31605	1984703	14	9
42_6673_8_24	506131	2071340	86	27
603_6259_5_1	76961	2138166	16	13
7_7622_3_92	30537	2040696	16	9
25_13415_6_52	221110	1996013	496	453
71_16453_2_30	107858	2147818	133	108
313_23164_8_79	34177	2142088	15	11
344_22841_2_153	36871	2159636	13	8
537_18456_1_31	35453	2117258	12	12
551_19341_2_130	43027	2088439	28	22
531_18090_1_73	41075	2098037	13	9
69_16288_8_3	29336	1980242	9	8
613_6823_7_5	67638	2101276	45	42
506_17138_3_48	30067	2077647	9	8
253_14566_4_24	36167	2017539	16	10
55_11861_3_41	33647	2064442	21	15
555_19341_3_78	38143	2140396	20	17
276_15841_5_94	24363	2053478	10	8
376_16288_6_47	50324	2087256	21	13
251_12290_3_24	62369	2105797	72	59
397_7622_2_47	39478	2037755	22	20
215_6753_3_20	43210	2114683	17	10
113_22841_3_34	39123	2101176	13	7
348_11511_8_94	29099	2092107	14	13
410_10395_5_54	54420	2175506	26	19
379_17870_7_147	50752	2160114	21	14
577_21999_8_29	29858	2176950	5	4
90_15841_1_45	37435	2133676	15	10
538_18456_1_52	35470	2116702	10	8
209_17138_5_38	42067	2112245	16	12
533_18090_2_100	36844	2135882	29	25
325_18456_1_29	41062	2173911	23	17
335_16288_7_45	28872	2016898	8	5
188_6807_3_17	36532	2091368	23	18
41_13415_6_19	37598	1996731	20	15
157_21903_8_278	32422	2093238	14	12
277_17966_5_16	32754	1935426	6	4
288_19341_2_96	39148	2108779	27	23
224_17794_7_17	40938	2062515	25	21
594_11861_1_47	37030	2091158	20	13
243_14412_2_29	32319	2043113	9	7
148_15378_4_35	79849	2091685	80	65
343_22114_6_37	65168	2143492	47	39
514_17150_5_52	48102	2110492	27	19
437_14410_7_80	34485	2071667	17	16
485_16288_5_29	51526	2140138	32	29
449_14566_5_8	33646	2073069	16	15
417_12291_1_79	48807	2142056	12	10
521_17794_8_58	34205	2162355	31	23
213_22027_1_56	33849	2143730	20	17
429_13415_4_95	32271	2065259	15	9
205_12837_5_80	45018	2128667	22	17
488_16288_6_7	47400	2012075	32	24
40_6736_5_15	123324	2062387	205	175
375_16288_6_40	49703	2046118	37	30
543_19084_7_36	39252	2169850	9	6
336_20925_3_10	44596	1972042	20	12
355_12837_1_71	33124	2066161	6	3
249_21242_2_135	40238	2090635	18	18
400_6631_2_16	55073	2139067	65	52
411_10395_5_55	34043	2087140	12	10
334_15682_1_68	28493	2036768	6	4
474_16043_2_67	39331	2105804	24	16
421_12837_2_10	28123	2068764	4	3
301_14913_3_1	45374	2001478	31	27
473_15995_2_179	51414	2108557	39	30
124_11893_1_88	33127	2079291	14	9
135_19084_8_163	24323	2050017	3	3
493_16288_7_61	32077	1982937	6	6
373_16288_4_57	66989	2153252	55	43
104_6731_5_11	41731	2055334	27	18
505_17059_8_84	25147	2085981	5	4
105_11657_8_42	31790	2080510	9	8
32_11860_7_64	33924	1992286	7	2
189_12291_3_19	33067	2088605	15	12
289_21999_7_133	44104	2203026	27	27
2_13414_8_47	47544	2038216	37	28
23_19084_7_114	37177	2154832	29	27
264_6259_5_2	58227	2125758	48	33
345_6680_7_12	42630	2071406	17	16
143_17870_7_161	28153	2106485	12	9
469_15873_1_34	29893	2080689	6	3
232_15531_6_9	40465	1983070	31	22
48_12837_3_79	51532	2148797	9	7
257_20957_7_122	44363	2159679	32	25
318_6680_8_5	50314	2101471	36	31
116_14913_4_1	43875	2052085	31	18
540_18456_1_95	124443	2066461	35	23
471_15995_1_87	32730	2148404	13	5
197_21946_6_143	34616	2128687	14	11
64_18090_2_111	31229	2118911	14	11
492_16288_7_55	36422	2079727	13	9
59_15608_3_20	26887	2003466	8	6
501_16288_8_40	45799	2141990	33	27
258_15841_2_59	48779	2100845	14	1
123_17794_8_71	28190	2006490	8	7
464_15531_7_18	112170	2131289	37	20
539_18456_1_74	39001	2061979	13	11
73_6631_4_21	64537	1981795	52	40
18_11861_5_40	39971	2063842	41	38
