type,sim,strain,length
pneumo,sim_d500_rep10_strainphlan,t__SGB8138,53843
pneumo,sim_d500_rep1_strainphlan,t__SGB8138,53983
pneumo,sim_d500_rep2_strainphlan,t__SGB8138,51998
pneumo,sim_d500_rep3_strainphlan,t__SGB8138,54341
pneumo,sim_d500_rep4_strainphlan,t__SGB8138,53977
pneumo,sim_d500_rep6_strainphlan,t__SGB8138,53919
pneumo,sim_d500_rep7_strainphlan,t__SGB8138,53966
pneumo,sim_d500_rep8_strainphlan,t__SGB8138,53871
pneumo,sim_d500_rep9_strainphlan,t__SGB8138,53974
pneumo,sim_d50_rep1_strainphlan,t__SGB8138,53864
pneumo,sim_d500_rep5_strainphlan,t__SGB8138,52503
pneumo,sim_d50_rep10_strainphlan,t__SGB8138,53979
pneumo,sim_d50_rep2_strainphlan,t__SGB8138,52490
pneumo,sim_d50_rep3_strainphlan,t__SGB8138,53056
pneumo,sim_d50_rep4_strainphlan,t__SGB8138,51999
pneumo,sim_d50_rep5_strainphlan,t__SGB8138,53838
pneumo,sim_d50_rep6_strainphlan,t__SGB8138,53955
pneumo,sim_d50_rep7_strainphlan,t__SGB8138,53923
pneumo,sim_d50_rep8_strainphlan,t__SGB8138,52460
pneumo,sim_d50_rep9_strainphlan,t__SGB8138,52415
pneumo,sim_d5_rep1_strainphlan,t__SGB8138,54331
pneumo,sim_d5_rep10_strainphlan,t__SGB8138,54252
pneumo,sim_d5_rep2_strainphlan,t__SGB8138,52493
pneumo,sim_d5_rep3_strainphlan,t__SGB8138,52474
pneumo,sim_d5_rep4_strainphlan,t__SGB8138,53864
pneumo,sim_d5_rep5_strainphlan,t__SGB8138,52503
pneumo,sim_d5_rep6_strainphlan,t__SGB8138,53701
pneumo,sim_d5_rep7_strainphlan,t__SGB8138,53698
pneumo,sim_d5_rep9_strainphlan,t__SGB8138,54008
pneumo,sim_d5_rep8_strainphlan,t__SGB8138,54098
