scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_016902345.1_ASM1690234v1_genomic	3879	33819	17	17
GCF_028539415.1_ASM2853941v1_genomic	425	5489	7	7
GCF_000160055.1_ASM16005v1_genomic	612	1895960	26	4
GCF_003641185.1_ASM364118v1_genomic	3845	3671373	90	28
GCF_000154285.1_ASM15428v1_genomic	3932	653882	38	24
GCF_000742135.1_ASM74213v1_genomic	14501	5284261	30	25
GCF_025151215.1_ASM2515121v1_genomic	2889	4377447	25	25
GCF_002234575.2_ASM223457v2_genomic	1982	6570176	46	46
GCF_000020225.1_ASM2022v1_genomic	1889845	2664102	3032	2967
GCF_025147485.1_ASM2514748v1_genomic	4941	4629452	45	45
GCF_029023785.1_ASM2902378v1_genomic	1780819	2672229	13378	13174
