Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,collected_by,Genotype,HOST,host_tissue_sampled,SAMPLE_TYPE,AssemblyName,env_broad_scale,env_local_scale,env_medium,Isolation_source,REPLICATE
SRR13215679,WGA,293,2519510666,PRJNA482776,SAMN17026530,MISAG.human-associated,534819300,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"sra,run.zq,bam","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX9648887,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc20_S37_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:01:00Z,1,VHX562_T2_sc20_S37_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc20
SRR13215680,WGA,292,2653219076,PRJNA482776,SAMN17026529,MISAG.human-associated,575500635,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"sra,bam,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX9648886,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc19_S36_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:01:00Z,1,VHX562_T2_sc19_S36_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc19
SRR13215681,WGA,292,2276367118,PRJNA482776,SAMN17026528,MISAG.human-associated,500762475,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"sra,run.zq,bam","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9648885,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc18_S35_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:01:00Z,1,VHX562_T2_sc18_S35_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc18
SRR13215682,WGA,292,2534459076,PRJNA482776,SAMN17026527,MISAG.human-associated,589983341,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"sra,run.zq,bam","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX9648884,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc17_S34_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:01:00Z,1,VHX562_T2_sc17_S34_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc17
SRR13215683,WGA,292,1643128544,PRJNA482776,SAMN17026526,MISAG.human-associated,370720025,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"sra,run.zq,bam","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9648883,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc16_S33_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:59:00Z,1,VHX562_T2_sc16_S33_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc16
SRR13215684,WGA,289,2027185654,PRJNA482776,SAMN17026525,MISAG.human-associated,451500538,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"sra,run.zq,bam","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9648882,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc15_S32_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:00:00Z,1,VHX562_T2_sc15_S32_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc15
SRR13215685,WGA,291,2128259823,PRJNA482776,SAMN17026138,MISAG.human-associated,465662548,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-09-14,public,"run.zq,bam,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX9648881,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,DMA004,16.71 N 98.57 E,DMA004_T2_sc17_S78_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:00:00Z,1,DMA004_T2_sc17_S78_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc17
SRR13215686,WGA,291,2332533505,PRJNA482776,SAMN17026524,MISAG.human-associated,556773144,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"run.zq,sra,bam","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9648880,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc14_S31_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:00:00Z,1,VHX562_T2_sc14_S31_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc14
SRR13215687,WGA,292,1673173388,PRJNA482776,SAMN17026523,MISAG.human-associated,404072425,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"bam,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9648879,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc13_S30_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:59:00Z,1,VHX562_T2_sc13_S30_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc13
SRR13215688,WGA,293,2028563765,PRJNA482776,SAMN17026522,MISAG.human-associated,437029292,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"run.zq,bam,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9648878,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc12_S29_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:00:00Z,1,VHX562_T2_sc12_S29_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc12
SRR13215689,WGA,292,2594611501,PRJNA482776,SAMN17026521,MISAG.human-associated,569616315,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"sra,bam,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9648877,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc11_S28_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:02:00Z,1,VHX562_T2_sc11_S28_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc11
SRR13215690,WGA,293,1842680682,PRJNA482776,SAMN17026520,MISAG.human-associated,398149935,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"bam,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9648876,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc10_S27_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:00:00Z,1,VHX562_T2_sc10_S27_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc10
SRR13215691,WGA,292,1575244214,PRJNA482776,SAMN17026519,MISAG.human-associated,344996550,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX9648875,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc09_S26_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:59:00Z,1,VHX562_T2_sc09_S26_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc09
