# simulation command: /data1/gerryt/tracm/scripts/tracm-sim.py -t 5 --genomes ./ref_genomes/6259_5#12.fasta ./ref_genomes/6259_5#13.fasta ./ref_genomes/6259_5#18.fasta ./ref_genomes/6259_5#20.fasta ./ref_genomes/6259_5#24.fasta ./ref_genomes/6259_6#18.fasta ./ref_genomes/6259_6#19.fasta ./ref_genomes/6259_6#1.fasta ./ref_genomes/6259_6#21.fasta ./ref_genomes/6259_6#23.fasta ./ref_genomes/6259_6#4.fasta ./ref_genomes/6259_6#9.fasta ./ref_genomes/6259_7#10.fasta ./ref_genomes/6259_7#12.fasta ./ref_genomes/6259_7#5.fasta ./ref_genomes/6259_7#6.fasta ./ref_genomes/6259_8#10.fasta ./ref_genomes/6259_8#16.fasta ./ref_genomes/6259_8#22.fasta ./ref_genomes/6259_8#4.fasta ./ref_genomes/6593_5#13.fasta ./ref_genomes/6593_5#2.fasta ./ref_genomes/6630_2#21.fasta ./ref_genomes/6630_4#15.fasta ./ref_genomes/6630_4#2.fasta ./ref_genomes/6631_3#20.fasta ./ref_genomes/6631_5#13.fasta ./ref_genomes/6753_1#9.fasta --tran-genome ./ref_genomes/6259_6#1.fasta -d 10 -b 10000 -n 2 -o sim_d10_rep1 --prefix sim_d10_rep1
genome,propA,propB,distance
6259_5#12,0.0,0.0,9903
6259_5#13,0.0,0.0,9831
6259_5#18,0.0,0.0,10063
6259_5#20,0.0,0.0,10160
6259_5#24,0.0,0.0,9810
6259_6#18,0.0,0.0,10057
6259_6#19,0.0,0.0,10014
6259_6#1,1.0,1.0,10
6259_6#21,0.0,0.0,10038
6259_6#23,0.0,0.0,10004
6259_6#4,0.0,0.0,9912
6259_6#9,0.0,0.0,9965
6259_7#10,0.0,0.0,10014
6259_7#12,0.0,0.0,10067
6259_7#5,0.0,0.0,9994
6259_7#6,0.0,0.0,9986
6259_8#10,0.0,0.0,9845
6259_8#16,0.0,0.0,9942
6259_8#22,0.0,0.0,9955
6259_8#4,0.0,0.0,9874
6593_5#13,0.0,0.0,9898
6593_5#2,0.0,0.0,10054
6630_2#21,0.0,0.0,10007
6630_4#15,0.0,0.0,9984
6630_4#2,0.0,0.0,10134
6631_3#20,0.0,0.0,9981
6631_5#13,0.0,0.0,9914
6753_1#9,0.0,0.0,9962
