sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264540.1	520808	410348	78.7906	410196	99.9630	410191	99.9988	152	0.0370	410343	99.9988	6885	1.6778	6880	99.9274	6837	99.3028	9	0.1307	12	0.1743	86848	100.0000	86860	100.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264527.1	440706	377355	85.6251	377255	99.9735	377253	99.9995	100	0.0265	377353	99.9995	6187	1.6396	6185	99.9677	6153	99.4505	10	0.1616	11	0.1778	50048	100.0000	50052	100.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264542.1	436963	391701	89.6417	391606	99.9757	391603	99.9992	95	0.0243	391698	99.9992	5857	1.4953	5854	99.9488	5820	99.3683	11	0.1878	9	0.1537	31774	100.0000	32898	100.0000	0.9972
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264546.1	427689	381733	89.2548	381617	99.9696	381616	99.9997	116	0.0304	381732	99.9997	5838	1.5293	5837	99.9829	5805	99.4347	9	0.1542	9	0.1542	22978	100.0000	22996	100.0000	0.9999
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264541.1	376564	321245	85.3095	321135	99.9658	321134	99.9997	110	0.0342	321244	99.9997	5985	1.8631	5984	99.9833	5945	99.3317	19	0.3175	7	0.1170	36260	100.0000	36259	100.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264461.1	333494	298669	89.5575	298538	99.9561	298536	99.9993	131	0.0439	298667	99.9993	5106	1.7096	5104	99.9608	5075	99.3929	9	0.1763	7	0.1371	13633	100.0000	13636	100.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264518.1	301687	249923	82.8418	248813	99.5559	248812	99.9996	1110	0.4441	249922	99.9996	4371	1.7489	4370	99.9771	4179	95.6074	95	2.1734	92	2.1048	36747	100.0000	36752	100.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264475.1	283185	217206	76.7011	217107	99.9544	217107	100.0000	99	0.0456	217206	100.0000	4419	2.0345	4419	100.0000	4393	99.4116	8	0.1810	4	0.0905	36942	100.0000	36941	100.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264476.1	167914	148996	88.7335	148981	99.9899	148980	99.9993	15	0.0101	148995	99.9993	1890	1.2685	1889	99.9471	1882	99.5767	4	0.2116	2	0.1058	6799	100.0000	6809	100.0000	0.9999
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264492.1	163393	143164	87.6194	143147	99.9881	143147	100.0000	17	0.0119	143164	100.0000	2826	1.9740	2826	100.0000	2815	99.6108	1	0.0354	5	0.1769	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264550.1	143270	83134	58.0261	83086	99.9423	83085	99.9988	48	0.0577	83133	99.9988	1654	1.9896	1653	99.9395	1639	99.0931	5	0.3023	3	0.1814	59644	100.0000	59644	100.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264524.1	137546	197	0.1432	197	100.0000	197	100.0000	0	0.0000	197	100.0000	18	9.1371	18	100.0000	18	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264545.1	136179	116432	85.4992	116403	99.9751	116403	100.0000	29	0.0249	116432	100.0000	1659	1.4249	1659	100.0000	1654	99.6986	3	0.1808	1	0.0603	12744	100.0000	12743	100.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264494.1	123266	90911	73.7519	90886	99.9725	90886	100.0000	25	0.0275	90911	100.0000	1654	1.8194	1654	100.0000	1644	99.3954	4	0.2418	4	0.2418	31124	100.0000	31123	100.0000	0.9999
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264460.1	78267	74157	94.7487	74107	99.9326	74107	100.0000	50	0.0674	74157	100.0000	1194	1.6101	1194	100.0000	1186	99.3300	2	0.1675	3	0.2513	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264544.1	75037	59532	79.3369	59392	99.7648	59392	100.0000	140	0.2352	59532	100.0000	943	1.5840	943	100.0000	911	96.6066	5	0.5302	7	0.7423	13278	100.0000	13278	100.0000	0.9999
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264465.1	54303	48162	88.6912	48158	99.9917	48158	100.0000	4	0.0083	48162	100.0000	558	1.1586	558	100.0000	555	99.4624	1	0.1792	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264543.1	53414	25	0.0468	25	100.0000	25	100.0000	0	0.0000	25	100.0000	4	16.0000	4	100.0000	4	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264517.1	32768	32589	99.4537	32584	99.9847	32584	100.0000	5	0.0153	32589	100.0000	344	1.0556	344	100.0000	342	99.4186	1	0.2907	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264519.1	27406	26050	95.0522	26045	99.9808	26045	100.0000	5	0.0192	26050	100.0000	1091	4.1881	1091	100.0000	1089	99.8167	0	0.0000	1	0.0917	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264520.1	12256	5	0.0408	5	100.0000	5	100.0000	0	0.0000	5	100.0000	1	20.0000	1	100.0000	1	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264522.1	11053	7775	70.3429	7767	99.8971	7767	100.0000	8	0.1029	7775	100.0000	66	0.8489	66	100.0000	66	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264471.1	8977	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264521.1	8625	36	0.4174	36	100.0000	36	100.0000	0	0.0000	36	100.0000	1	2.7778	1	100.0000	1	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264463.2	6109	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	6109	100.0000	6109	100.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264472.1	5362	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264547.1	3666	3659	99.8091	3657	99.9453	3657	100.0000	2	0.0547	3659	100.0000	25	0.6832	25	100.0000	24	96.0000	0	0.0000	1	4.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264462.1	2987	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264531.1	2859	262	9.1640	260	99.2366	260	100.0000	2	0.7634	262	100.0000	36	13.7405	36	100.0000	34	94.4444	0	0.0000	1	2.7778	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264474.1	2561	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264469.1	2531	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264549.1	2420	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264467.1	2414	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264464.1	2275	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264470.1	2227	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264473.1	1969	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264468.1	1963	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264477.1	1953	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264466.1	1857	116	6.2466	116	100.0000	116	100.0000	0	0.0000	116	100.0000	1	0.8621	1	100.0000	1	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264525.1	1169	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264495.1	969	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264507.1	957	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264510.1	925	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264529.1	901	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264523.1	888	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154105.1_ASM15410v1_genomic	NZ_DS264486.1	874	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
