ID,length,species_long,species
GCF_000020225.1,2664102,Akkermansia muciniphila,s__Akkermansia_muciniphila
GCF_028539415.1,6778473,Bacteroides cellulosilyticus,s__Bacteroides_cellulosilyticus
GCF_025147485.1,4629452,Bacteroides uniformis,s__Bacteroides_uniformis
GCF_002234575.2,6614036,Enterocloster bolteae/Clostridium bolteae,s__Enterocloster_bolteae
GCF_016902345.1,3787014,Mediterraneibacter glycyrrhizinilyticus/Clostridium glycyrrhizinilyticum,s__Mediterraneibacter_glycyrrhizinilyticus_A
GCF_000160055.1,1895960,Dialister invisus,s__Dialister_invisus
GCF_029023785.1,2672229,Enterococcus faecium,s__Enterococcus_faecium
GCF_000154285.1,2191053,Amedibacillus dolichus/Eubacterium dolichum,s__Amedibacillus_dolichus
GCF_000742135.1,5545784,Klebsiella pneumoniae,s__Klebsiella_pneumoniae
GCF_003641185.1,3671373,Lactiplantibacillus pentosus,s__Lactiplantibacillus_pentosus
GCF_025151215.1,4377447,Parabacteroides merdae,s__Parabacteroides_merdae
