sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
sampleA	sampleB	GCF_000154205.1_ASM15420v1_genomic	NZ_DS362249.1	513255	386860	75.3738	386802	99.9850	386765	99.9904	58	0.0150	386823	99.9904	5056	1.3069	5019	99.2682	4975	98.3979	33	0.6527	24	0.4747	103526	100.0000	103611	100.0000	0.9973
sampleA	sampleB	GCF_000154205.1_ASM15420v1_genomic	NZ_DS362248.1	487318	335459	68.8378	335325	99.9601	335296	99.9914	134	0.0399	335430	99.9914	3869	1.1533	3840	99.2505	3768	97.3895	35	0.9046	27	0.6979	119548	100.0000	124047	100.0000	0.9878
sampleA	sampleB	GCF_000154205.1_ASM15420v1_genomic	NZ_DS362220.1	405163	313801	77.4506	313767	99.9892	313737	99.9904	34	0.0108	313771	99.9904	3610	1.1504	3580	99.1690	3547	98.2548	21	0.5817	18	0.4986	78340	100.0000	78384	100.0000	0.9998
sampleA	sampleB	GCF_000154205.1_ASM15420v1_genomic	NZ_DS362247.1	401984	243816	60.6532	243785	99.9873	243755	99.9877	31	0.0127	243786	99.9877	2284	0.9368	2254	98.6865	2229	97.5919	15	0.6567	21	0.9194	149412	100.0000	149466	100.0000	0.9996
sampleA	sampleB	GCF_000154205.1_ASM15420v1_genomic	NZ_DS362246.1	308458	199627	64.7177	199568	99.9704	199550	99.9910	59	0.0296	199609	99.9910	2141	1.0725	2123	99.1593	2089	97.5712	20	0.9341	15	0.7006	93876	100.0000	94174	100.0000	0.9979
sampleA	sampleB	GCF_000154205.1_ASM15420v1_genomic	NZ_DS362244.1	287799	202612	70.4005	202545	99.9669	202528	99.9916	67	0.0331	202595	99.9916	2611	1.2887	2594	99.3489	2548	97.5871	10	0.3830	19	0.7277	70907	100.0000	71008	100.0000	0.9992
sampleA	sampleB	GCF_000154205.1_ASM15420v1_genomic	NZ_DS362245.1	275397	158428	57.5271	158410	99.9886	158391	99.9880	18	0.0114	158409	99.9880	1838	1.1601	1819	98.9663	1807	98.3134	10	0.5441	10	0.5441	100254	100.0000	100280	100.0000	0.9996
sampleA	sampleB	GCF_000154205.1_ASM15420v1_genomic	NZ_DS362243.1	247236	212899	86.1117	212854	99.9789	212833	99.9901	45	0.0211	212878	99.9901	2993	1.4058	2972	99.2984	2927	97.7949	11	0.3675	21	0.7016	12631	100.0000	12616	100.0000	0.9999
sampleA	sampleB	GCF_000154205.1_ASM15420v1_genomic	NZ_DS362242.1	231831	186657	80.5143	186629	99.9850	186601	99.9850	28	0.0150	186629	99.9850	2146	1.1497	2118	98.6952	2101	97.9031	19	0.8854	17	0.7922	33819	100.0000	38692	87.0206	0.9739
sampleA	sampleB	GCF_000154205.1_ASM15420v1_genomic	NZ_DS362240.1	224649	201724	89.7952	201679	99.9777	201664	99.9926	45	0.0223	201709	99.9926	2211	1.0961	2196	99.3216	2172	98.2361	16	0.7237	6	0.2714	13782	100.0000	13842	100.0000	0.9996
