scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_016902345.1_ASM1690234v1_genomic	18802	362532	52	45
GCF_000154285.1_ASM15428v1_genomic	38501	1766044	590	509
GCF_028539415.1_ASM2853941v1_genomic	232	857978	3	3
GCF_000020225.1_ASM2022v1_genomic	2664088	2664102	3	3
GCF_029023785.1_ASM2902378v1_genomic	23478	2672229	347	25
GCF_000742135.1_ASM74213v1_genomic	271103	5529453	6475	2387
GCF_003641185.1_ASM364118v1_genomic	164755	3671373	1131	892
GCF_025151215.1_ASM2515121v1_genomic	5713	4377447	90	86
GCF_000160055.1_ASM16005v1_genomic	1895826	1895960	4935	4873
GCF_002234575.2_ASM223457v2_genomic	2595811	6570176	99586	92129
GCF_025147485.1_ASM2514748v1_genomic	20802	4629452	656	611
