sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000001	346095	243370	70.3188	243075	99.8788	243073	99.9992	295	0.1212	243368	99.9992	311	0.1278	309	99.3569	24	7.7170	72	23.1511	211	67.8457	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000002	198810	139611	70.2233	139472	99.9004	139471	99.9993	139	0.0996	139610	99.9993	144	0.1031	143	99.3056	10	6.9444	89	61.8056	45	31.2500	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000003	152040	109168	71.8022	108987	99.8342	108985	99.9982	181	0.1658	109166	99.9982	184	0.1685	182	98.9130	11	5.9783	79	42.9348	94	51.0870	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000004	139330	72027	51.6953	71711	99.5613	71669	99.9414	316	0.4387	71985	99.9417	402	0.5581	360	89.5522	63	15.6716	60	14.9254	59	14.6766	0	0.0000	11346	0.0000	0.9186
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000005	107791	51434	47.7164	51289	99.7181	51269	99.9610	145	0.2819	51414	99.9611	248	0.4822	228	91.9355	94	37.9032	29	11.6935	89	35.8871	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000006	88576	68485	77.3178	68442	99.9372	68442	100.0000	43	0.0628	68485	100.0000	46	0.0672	46	100.0000	15	32.6087	28	60.8696	3	6.5217	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000007	85683	65089	75.9649	65060	99.9554	65059	99.9985	29	0.0446	65088	99.9985	33	0.0507	32	96.9697	3	9.0909	28	84.8485	3	9.0909	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000008	77151	28189	36.5374	28145	99.8439	28140	99.9822	44	0.1561	28184	99.9823	94	0.3335	89	94.6809	58	61.7021	20	21.2766	12	12.7660	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000009	76464	56530	73.9302	56518	99.9788	56518	100.0000	12	0.0212	56530	100.0000	32	0.0566	32	100.0000	26	81.2500	2	6.2500	4	12.5000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000010	60027	39553	65.8920	39547	99.9848	39547	100.0000	6	0.0152	39553	100.0000	8	0.0202	8	100.0000	2	25.0000	5	62.5000	1	12.5000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000011	59861	47517	79.3789	47438	99.8337	47437	99.9979	79	0.1663	47516	99.9979	85	0.1789	84	98.8235	5	5.8824	41	48.2353	36	42.3529	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000012	49199	13547	27.5351	13508	99.7121	13484	99.8223	39	0.2879	13523	99.8228	159	1.1737	135	84.9057	96	60.3774	24	15.0943	20	12.5786	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000013	48716	23802	48.8587	23777	99.8950	23777	100.0000	25	0.1050	23802	100.0000	25	0.1050	25	100.0000	0	0.0000	13	52.0000	12	48.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000014	46832	34444	73.5480	34402	99.8781	34402	100.0000	42	0.1219	34444	100.0000	45	0.1306	45	100.0000	7	15.5556	36	80.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000015	46688	24106	51.6321	24084	99.9087	24084	100.0000	22	0.0913	24106	100.0000	51	0.2116	51	100.0000	29	56.8627	3	5.8824	18	35.2941	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000016	45286	32056	70.7857	32051	99.9844	32051	100.0000	5	0.0156	32056	100.0000	6	0.0187	6	100.0000	1	16.6667	5	83.3333	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000017	44768	34071	76.1057	34054	99.9501	34054	100.0000	17	0.0499	34071	100.0000	19	0.0558	19	100.0000	2	10.5263	16	84.2105	1	5.2632	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000018	43787	20209	46.1530	20182	99.8664	20152	99.8514	27	0.1336	20179	99.8516	69	0.3414	39	56.5217	16	23.1884	11	15.9420	31	44.9275	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000019	42369	28941	68.3070	28896	99.8445	28894	99.9931	45	0.1555	28939	99.9931	48	0.1659	46	95.8333	2	4.1667	22	45.8333	17	35.4167	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000020	41812	36925	88.3120	36791	99.6371	36791	100.0000	134	0.3629	36925	100.0000	139	0.3764	139	100.0000	14	10.0719	87	62.5899	30	21.5827	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000021	40532	20971	51.7394	20970	99.9952	20969	99.9952	1	0.0048	20970	99.9952	14	0.0668	13	92.8571	12	85.7143	0	0.0000	2	14.2857	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000022	40133	29050	72.3843	29047	99.9897	29047	100.0000	3	0.0103	29050	100.0000	4	0.0138	4	100.0000	1	25.0000	1	25.0000	2	50.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000023	36114	29291	81.1070	29291	100.0000	29291	100.0000	0	0.0000	29291	100.0000	2	0.0068	2	100.0000	2	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000024	25115	20784	82.7553	20768	99.9230	20768	100.0000	16	0.0770	20784	100.0000	17	0.0818	17	100.0000	1	5.8824	14	82.3529	2	11.7647	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000025	24809	19061	76.8310	19032	99.8479	19032	100.0000	29	0.1521	19061	100.0000	30	0.1574	30	100.0000	1	3.3333	23	76.6667	5	16.6667	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000026	19767	12912	65.3210	12904	99.9380	12904	100.0000	8	0.0620	12912	100.0000	9	0.0697	9	100.0000	1	11.1111	0	0.0000	8	88.8889	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000027	18794	14949	79.5413	14946	99.9799	14946	100.0000	3	0.0201	14949	100.0000	5	0.0334	5	100.0000	2	40.0000	0	0.0000	3	60.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000028	17812	7964	44.7114	7962	99.9749	7962	100.0000	2	0.0251	7964	100.0000	2	0.0251	2	100.0000	0	0.0000	2	100.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000029	17766	13286	74.7833	13274	99.9097	13274	100.0000	12	0.0903	13286	100.0000	12	0.0903	12	100.0000	7	58.3333	0	0.0000	5	41.6667	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000030	12203	8819	72.2691	8819	100.0000	8819	100.0000	0	0.0000	8819	100.0000	2	0.0227	2	100.0000	2	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000031	10176	8232	80.8962	8228	99.9514	8228	100.0000	4	0.0486	8232	100.0000	5	0.0607	5	100.0000	1	20.0000	4	80.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000032	7598	6236	82.0742	6233	99.9519	6233	100.0000	3	0.0481	6236	100.0000	3	0.0481	3	100.0000	0	0.0000	1	33.3333	2	66.6667	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000033	6179	1538	24.8908	1525	99.1547	1521	99.7377	13	0.8453	1534	99.7399	23	1.4954	19	82.6087	6	26.0870	8	34.7826	7	30.4348	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000034	5934	5275	88.8945	5245	99.4313	5245	100.0000	30	0.5687	5275	100.0000	31	0.5877	31	100.0000	1	3.2258	7	22.5806	23	74.1935	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000035	4119	2880	69.9199	2878	99.9306	2878	100.0000	2	0.0694	2880	100.0000	2	0.0694	2	100.0000	0	0.0000	2	100.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000036	2475	1749	70.6667	1740	99.4854	1740	100.0000	9	0.5146	1749	100.0000	9	0.5146	9	100.0000	3	33.3333	2	22.2222	4	44.4444	0	0.0000	0	0.0000	1.0000
