scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GUT_GENOME140082_47	465	14968	0	0
GUT_GENOME029877_91	3873	3873	1	0
GUT_GENOME258721_47	704	31364	2	2
GUT_GENOME225144_218	628	1660	1	1
GUT_GENOME258721_1	17098	223074	45	36
GUT_GENOME251721_132	403	10334	2	0
GUT_GENOME225144_482	928	1163	0	0
GUT_GENOME251721_24	749	54236	10	10
GUT_GENOME258721_76	256	10170	1	1
GUT_GENOME000192_17	3474	4216	3	2
GUT_GENOME122359_42	56	27370	0	0
GUT_GENOME258721_86	244	5790	0	0
GUT_GENOME225144_844	1029	1145	0	0
GUT_GENOME122359_32	963	57720	7	7
GUT_GENOME258721_4	591	158063	2	2
GUT_GENOME225144_728	2109	2141	0	0
GUT_GENOME251721_68	246	24451	0	0
GUT_GENOME258721_50	1321	29046	6	6
GUT_GENOME258721_59	886	18268	10	10
GUT_GENOME000655_25	4217	14646	15	7
GUT_GENOME225144_1231	782	1018	2	2
GUT_GENOME122359_45	579	24287	1	1
GUT_GENOME225144_87	557	1168	2	1
GUT_GENOME000655_12	30856	178640	44	41
GUT_GENOME140082_45	242	17460	0	0
GUT_GENOME122359_26	10011	69841	4	4
GUT_GENOME251721_4	4162	101843	24	24
GUT_GENOME251721_2	1188	125719	2	2
GUT_GENOME258721_44	1123	32089	1	1
GUT_GENOME225144_1192	2376	2601	0	0
GUT_GENOME251721_25	1609	53988	19	19
GUT_GENOME140082_64	950	6218	6	3
GUT_GENOME258721_39	209	45593	1	1
GUT_GENOME251721_16	2706	65771	10	8
GUT_GENOME122359_1	2496	165324	28	27
GUT_GENOME258721_51	234	27742	0	0
GUT_GENOME225144_528	1428	1735	1	1
GUT_GENOME122359_54	228	15259	0	0
GUT_GENOME258721_26	5406	69207	34	34
GUT_GENOME122359_53	218	18271	1	1
GUT_GENOME251721_37	1248	43259	6	6
GUT_GENOME258721_79	446	9485	0	0
GUT_GENOME258721_5	6782	154566	37	37
GUT_GENOME225144_979	1432	1442	0	0
GUT_GENOME225144_424	1230	1294	5	0
GUT_GENOME251721_14	10291	67436	26	9
GUT_GENOME225144_652	951	1403	14	14
GUT_GENOME000655_1	149000	486372	172	160
GUT_GENOME122359_9	2358	142556	16	16
GUT_GENOME258721_33	846	52160	2	2
GUT_GENOME251721_142	1216	8420	4	4
GUT_GENOME251721_117	517	12223	1	1
GUT_GENOME258721_38	1183	46099	10	9
GUT_GENOME258721_21	7476	82175	13	12
GUT_GENOME251721_103	291	15009	0	0
GUT_GENOME000655_26	377	12966	0	0
GUT_GENOME225144_755	1883	1918	0	0
GUT_GENOME225144_3	1003	1057	0	0
GUT_GENOME251721_56	1337	27344	2	1
GUT_GENOME225144_1204	1181	1184	0	0
GUT_GENOME122359_33	215	56107	1	1
GUT_GENOME225144_1336	881	1891	0	0
GUT_GENOME122359_15	635	96423	6	6
GUT_GENOME225144_1280	965	1288	2	2
GUT_GENOME251721_23	6366	55108	39	37
GUT_GENOME258721_52	1456	25212	7	7
GUT_GENOME251721_39	434	42012	0	0
GUT_GENOME251721_17	1373	64897	12	12
GUT_GENOME225144_720	941	1056	0	0
GUT_GENOME122359_24	4063	70630	15	15
GUT_GENOME251721_64	243	25215	9	9
GUT_GENOME000655_18	6798	85383	24	24
GUT_GENOME258721_48	3862	30226	21	19
