sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000001	346095	245197	70.8467	244945	99.8972	244944	99.9996	252	0.1028	245196	99.9996	273	0.1113	272	99.6337	29	10.6227	221	80.9524	20	7.3260	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000002	198810	139783	70.3098	139723	99.9571	139723	100.0000	60	0.0429	139783	100.0000	63	0.0451	63	100.0000	5	7.9365	55	87.3016	3	4.7619	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000003	152040	115256	75.8064	115121	99.8829	115121	100.0000	135	0.1171	115256	100.0000	136	0.1180	136	100.0000	6	4.4118	123	90.4412	7	5.1471	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000004	139330	71363	51.2187	71280	99.8837	71273	99.9902	83	0.1163	71356	99.9902	120	0.1682	113	94.1667	30	25.0000	26	21.6667	35	29.1667	19088	58.6756	14520	100.0000	0.9124
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000005	107791	57368	53.2215	57247	99.7891	57218	99.9493	121	0.2109	57339	99.9494	233	0.4061	204	87.5536	91	39.0558	85	36.4807	22	9.4421	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000006	88576	70488	79.5791	70445	99.9390	70445	100.0000	43	0.0610	70488	100.0000	46	0.0653	46	100.0000	17	36.9565	8	17.3913	21	45.6522	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000007	85683	66151	77.2043	66149	99.9970	66149	100.0000	2	0.0030	66151	100.0000	5	0.0076	5	100.0000	3	60.0000	2	40.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000008	77151	32476	42.0941	32433	99.8676	32431	99.9938	43	0.1324	32474	99.9938	117	0.3603	115	98.2906	82	70.0855	15	12.8205	11	9.4017	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000009	76464	58631	76.6779	58592	99.9335	58592	100.0000	39	0.0665	58631	100.0000	55	0.0938	55	100.0000	26	47.2727	11	20.0000	18	32.7273	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000010	60027	43622	72.6706	43616	99.9862	43616	100.0000	6	0.0138	43622	100.0000	8	0.0183	8	100.0000	3	37.5000	3	37.5000	2	25.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000011	59861	46094	77.0017	46034	99.8698	46034	100.0000	60	0.1302	46094	100.0000	68	0.1475	68	100.0000	16	23.5294	46	67.6471	6	8.8235	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000012	49199	15595	31.6978	15576	99.8782	15576	100.0000	19	0.1218	15595	100.0000	123	0.7887	123	100.0000	104	84.5528	12	9.7561	3	2.4390	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000013	48716	23444	48.1238	23428	99.9318	23427	99.9957	16	0.0682	23443	99.9957	17	0.0725	16	94.1176	0	0.0000	17	100.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000014	46832	34964	74.6584	34947	99.9514	34947	100.0000	17	0.0486	34964	100.0000	19	0.0543	19	100.0000	4	21.0526	7	36.8421	4	21.0526	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000015	46688	26891	57.5972	26861	99.8884	26859	99.9926	30	0.1116	26889	99.9926	58	0.2157	56	96.5517	28	48.2759	23	39.6552	6	10.3448	0	0.0000	0	0.0000	1.0000
