scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_016902345.1_ASM1690234v1_genomic	4545	455590	57	52
GCF_028539415.1_ASM2853941v1_genomic	522196	6737153	4985	4955
GCF_025151215.1_ASM2515121v1_genomic	644	4377447	20	18
GCF_000154285.1_ASM15428v1_genomic	13191	1757187	329	267
GCF_000020225.1_ASM2022v1_genomic	1022	2664102	43	27
GCF_002234575.2_ASM223457v2_genomic	8645	6570176	350	290
GCF_003641185.1_ASM364118v1_genomic	21908	3671373	513	101
GCF_000742135.1_ASM74213v1_genomic	277020	5529453	6137	2207
GCF_025147485.1_ASM2514748v1_genomic	3546	4629452	176	173
GCF_029023785.1_ASM2902378v1_genomic	1916363	2672229	43586	8398
GCF_000160055.1_ASM16005v1_genomic	484493	1895960	8462	7951
