# simulation command: /data1/gerryt/tracm/scripts/tracm-sim.py -t 5 --genomes ./mu_genomes/GCF_000160055.1_ASM16005v1_genomic.fna ./mu_genomes/GCF_000240185.1_ASM24018v2_genomic.fna ./mu_genomes/GCF_000307345.1_Para_merd_CL03T12C32_V1_genomic.fna ./mu_genomes/GCF_002234575.2_ASM223457v2_genomic.fna ./mu_genomes/GCF_003641185.1_ASM364118v1_genomic.fna ./mu_genomes/GCF_009731575.1_ASM973157v1_genomic.fna ./mu_genomes/GCF_009734005.1_ASM973400v2_genomic.fna ./mu_genomes/GCF_015560805.1_ASM1556080v1_genomic.fna ./mu_genomes/GCF_018292125.1_ASM1829212v1_genomic.fna ./mu_genomes/GCF_018292165.1_ASM1829216v1_genomic.fna --tran-genome ./mu_genomes/GCF_009734005.1_ASM973400v2_genomic.fna -d 50 -b 10000 -n 5 -o sim_d50_ref_GCF_009734005.1_ASM973400v2_genomic --prefix sim_d50_ref_GCF_009734005.1_ASM973400v2_genomic
genome,propA,propB,distance
GCF_000160055.1_ASM16005v1_genomic,0.0,0.1526574179381649,9974
GCF_000240185.1_ASM24018v2_genomic,0.0,0.0,10048
GCF_000307345.1_Para_merd_CL03T12C32_V1_genomic,0.0,0.1453289857024209,9896
GCF_002234575.2_ASM223457v2_genomic,0.0,0.0,10129
GCF_003641185.1_ASM364118v1_genomic,0.0,0.021214040951336794,9762
GCF_009731575.1_ASM973157v1_genomic,0.1972163952429603,0.37788165518959893,10077
GCF_009734005.1_ASM973400v2_genomic,0.6289635139211748,0.09387676683839483,50
GCF_015560805.1_ASM1556080v1_genomic,0.046616610209379954,0.0,10159
GCF_018292125.1_ASM1829212v1_genomic,0.12720348062648487,0.20904113338008376,9982
GCF_018292165.1_ASM1829216v1_genomic,0.0,0.0,9880
