scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GUT_GENOME143232_122	168	245	0	0
GUT_GENOME143232_114	0	245	0	0
GUT_GENOME143232_74	464	578	0	0
GUT_GENOME143232_105	182	257	0	0
GUT_GENOME000231_51	473	24165	1	1
GUT_GENOME000231_41	3283	33829	18	18
GUT_GENOME000231_37	1522	40214	14	14
GUT_GENOME000231_54	326	20626	13	13
GUT_GENOME000231_24	9626	68086	55	55
GUT_GENOME000231_35	588	41989	5	5
GUT_GENOME000231_38	15582	39428	54	54
GUT_GENOME143232_106	206	254	0	0
GUT_GENOME143232_78	307	533	0	0
GUT_GENOME143232_98	228	313	0	0
GUT_GENOME143232_57	1435	1742	0	0
GUT_GENOME000231_70	223	7948	3	3
GUT_GENOME143232_56	1104	1780	0	0
GUT_GENOME143232_42	8673	15524	9	5
GUT_GENOME000231_14	2645	85086	23	23
GUT_GENOME000231_16	1365	80601	17	17
GUT_GENOME143232_7	181401	329387	911	911
GUT_GENOME143232_4	213765	376479	812	790
GUT_GENOME143232_76	404	571	0	0
GUT_GENOME143232_89	182	370	1	0
GUT_GENOME143232_72	601	638	0	0
GUT_GENOME000231_25	13026	67738	47	44
GUT_GENOME143232_41	10559	15580	19	17
GUT_GENOME096083_3	1282	1286	2	2
GUT_GENOME096083_2	532	846	6	1
GUT_GENOME000231_11	20129	96284	78	77
GUT_GENOME096083_9	1488	1491	1	1
GUT_GENOME000231_63	625	10239	3	3
GUT_GENOME000231_43	629	29833	4	4
GUT_GENOME143232_85	162	406	0	0
GUT_GENOME143232_107	188	254	0	0
GUT_GENOME143232_68	597	829	2	1
GUT_GENOME000231_9	18032	124026	64	64
GUT_GENOME000231_50	809	25303	11	11
GUT_GENOME143232_121	146	245	0	0
GUT_GENOME143232_73	387	587	1	0
GUT_GENOME000231_8	7251	129358	68	67
GUT_GENOME143232_10	148891	268946	476	474
GUT_GENOME143232_15	116594	198420	430	418
GUT_GENOME143232_13	136778	203080	332	331
GUT_GENOME000231_7	17935	135208	92	89
GUT_GENOME143232_22	63137	101597	374	369
GUT_GENOME143232_11	132179	212982	200	195
GUT_GENOME143232_20	97051	154327	164	164
GUT_GENOME143232_54	1228	2382	0	0
GUT_GENOME143232_21	94977	154259	221	221
GUT_GENOME000231_58	468	13814	5	5
GUT_GENOME143232_17	102413	184146	345	342
GUT_GENOME143232_65	535	990	0	0
GUT_GENOME000231_2	14073	293390	119	119
GUT_GENOME000231_3	21371	228018	93	93
GUT_GENOME143232_30	31009	57920	22	22
GUT_GENOME000231_32	1223	43909	8	8
GUT_GENOME143232_12	136839	211532	236	236
GUT_GENOME000231_77	3335	4938	19	18
GUT_GENOME000231_29	3105	57155	20	20
GUT_GENOME000231_15	9152	81097	46	46
GUT_GENOME143232_71	660	694	0	0
GUT_GENOME143232_31	41061	57238	37	37
GUT_GENOME143232_91	191	337	0	0
GUT_GENOME143232_75	285	577	0	0
GUT_GENOME143232_103	241	281	0	0
GUT_GENOME000231_89	799	2966	4	4
GUT_GENOME143232_28	27529	64650	165	165
GUT_GENOME000231_22	5331	69364	37	37
GUT_GENOME096083_1	776	807	3	3
GUT_GENOME000231_104	800	1730	2	2
GUT_GENOME000231_40	1543	35829	10	10
GUT_GENOME000231_1	9540	311009	77	77
GUT_GENOME143232_87	316	387	2	1
GUT_GENOME000231_6	39148	135304	147	143
