type,strain,length
meta,t__SGB7200,297135
meta,t__SGB4606,242922
meta,t__SGB1949,74868
meta,t__SGB4758_group,141243
meta,t__SGB1844,164823
meta,t__SGB7967,286467
meta,t__SGB5825_group,223446
meta,t__SGB10115,158811
meta,t__SGB1836_group,183462
meta,t__SGB9226,148389
