sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483477.1	453733	397933	87.7020	397881	99.9869	396973	99.7718	52	0.0131	397025	99.7718	3821	0.9602	2913	76.2366	2874	75.2159	7	0.1832	913	23.8943	30685	100.0000	27064	100.0000	0.9901
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483474.1	365126	290254	79.4942	290101	99.9473	289408	99.7611	153	0.0527	289561	99.7612	4113	1.4170	3420	83.1510	3377	82.1055	19	0.4619	703	17.0921	47928	100.0000	48269	100.0000	0.9989
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483475.1	291535	246526	84.5614	246485	99.9834	245937	99.7777	41	0.0166	245978	99.7777	2195	0.8904	1647	75.0342	1607	73.2118	20	0.9112	552	25.1481	36165	100.0000	36324	100.0000	0.9994
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483478.1	278946	248491	89.0821	248470	99.9915	247909	99.7742	21	0.0085	247930	99.7742	2691	1.0829	2130	79.1527	2111	78.4467	5	0.1858	566	21.0331	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483473.1	200149	152011	75.9489	151956	99.9638	151613	99.7743	55	0.0362	151668	99.7744	1845	1.2137	1502	81.4092	1474	79.8916	11	0.5962	355	19.2412	38950	100.0000	39007	100.0000	0.9996
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483476.1	180925	165126	91.2677	165109	99.9897	164764	99.7910	17	0.0103	164781	99.7911	2836	1.7175	2491	87.8350	2475	87.2708	5	0.1763	349	12.3061	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483460.1	107844	76797	71.2112	76778	99.9753	76615	99.7877	19	0.0247	76632	99.7851	867	1.1290	702	80.9689	698	80.5075	6	0.6920	165	19.0311	25569	100.0000	25569	100.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483470.1	84800	77898	91.8608	77895	99.9961	77730	99.7882	3	0.0039	77733	99.7882	750	0.9628	585	78.0000	582	77.6000	2	0.2667	164	21.8667	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483463.1	60196	42920	71.3004	42916	99.9907	42818	99.7716	4	0.0093	42822	99.7717	405	0.9436	307	75.8025	303	74.8148	1	0.2469	100	24.6914	16910	100.0000	16925	100.0000	0.9997
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483462.1	58373	37311	63.9182	37310	99.9973	37227	99.7775	1	0.0027	37228	99.7775	387	1.0372	304	78.5530	303	78.2946	1	0.2584	82	21.1886	20205	100.0000	20250	100.0000	0.9988
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483467.1	44434	43531	97.9678	43525	99.9862	43421	99.7611	6	0.0138	43427	99.7611	394	0.9051	290	73.6041	285	72.3350	4	1.0152	104	26.3959	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483466.1	36468	36403	99.8218	36400	99.9918	36321	99.7830	3	0.0082	36324	99.7830	241	0.6620	162	67.2199	159	65.9751	0	0.0000	79	32.7801	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483468.1	8857	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	8857	100.0000	8857	100.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483471.1	6434	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483472.1	5239	4711	89.9217	4709	99.9575	4699	99.7876	2	0.0425	4701	99.7877	15	0.3184	5	33.3333	3	20.0000	0	0.0000	10	66.6667	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483464.1	2214	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483465.1	2208	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483469.1	2091	1931	92.3482	1931	100.0000	1921	99.4821	0	0.0000	1921	99.4821	16	0.8286	6	37.5000	6	37.5000	0	0.0000	10	62.5000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	GCF_000154285.1_ASM15428v1_genomic	NZ_DS483461.1	1481	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
