sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000001	346095	270811	78.2476	270406	99.8504	270406	100.0000	405	0.1496	270811	100.0000	433	0.1599	433	100.0000	40	9.2379	210	48.4988	179	41.3395	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000002	198810	160573	80.7671	160217	99.7783	160216	99.9994	356	0.2217	160572	99.9994	361	0.2248	360	99.7230	13	3.6011	50	13.8504	297	82.2715	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000003	152040	117247	77.1159	116896	99.7006	116896	100.0000	351	0.2994	117247	100.0000	352	0.3002	352	100.0000	19	5.3977	98	27.8409	236	67.0455	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000004	139330	84460	60.6187	84056	99.5217	84020	99.9572	404	0.4783	84424	99.9574	500	0.5920	464	92.8000	96	19.2000	113	22.6000	67	13.4000	11346	0.0000	0	0.0000	0.9186
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000005	107791	64892	60.2017	64694	99.6949	64602	99.8578	198	0.3051	64799	99.8567	453	0.6981	360	79.4702	207	45.6954	81	17.8808	115	25.3863	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000006	88576	74199	83.7687	74111	99.8814	74111	100.0000	88	0.1186	74199	100.0000	92	0.1240	92	100.0000	16	17.3913	1	1.0870	75	81.5217	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000007	85683	69321	80.9040	69248	99.8947	69247	99.9986	73	0.1053	69320	99.9986	77	0.1111	76	98.7013	4	5.1948	2	2.5974	72	93.5065	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000008	77151	36035	46.7071	35938	99.7308	35930	99.9777	97	0.2692	36027	99.9778	168	0.4662	160	95.2381	82	48.8095	19	11.3095	58	34.5238	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000009	76464	61273	80.1331	61238	99.9429	61238	100.0000	35	0.0571	61273	100.0000	55	0.0898	55	100.0000	25	45.4545	5	9.0909	25	45.4545	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000010	60027	45414	75.6560	45332	99.8194	45332	100.0000	82	0.1806	45414	100.0000	84	0.1850	84	100.0000	3	3.5714	0	0.0000	81	96.4286	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000011	59861	51692	86.3534	51535	99.6963	51535	100.0000	157	0.3037	51692	100.0000	167	0.3231	167	100.0000	22	13.1737	39	23.3533	94	56.2874	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000012	49199	15073	30.6368	15038	99.7678	15020	99.8803	35	0.2322	15055	99.8806	152	1.0084	134	88.1579	100	65.7895	12	7.8947	16	10.5263	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000013	48716	37702	77.3914	37606	99.7454	37606	100.0000	96	0.2546	37702	100.0000	98	0.2599	98	100.0000	3	3.0612	39	39.7959	56	57.1429	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000014	46832	38527	82.2664	38344	99.5250	38344	100.0000	183	0.4750	38527	100.0000	191	0.4958	191	100.0000	12	6.2827	1	0.5236	176	92.1466	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000015	46688	28795	61.6754	28754	99.8576	28754	100.0000	41	0.1424	28795	100.0000	92	0.3195	92	100.0000	53	57.6087	16	17.3913	22	23.9130	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000016	45286	35224	77.7812	35181	99.8779	35181	100.0000	43	0.1221	35224	100.0000	44	0.1249	44	100.0000	1	2.2727	0	0.0000	43	97.7273	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000017	44768	37019	82.6908	36996	99.9379	36996	100.0000	23	0.0621	37019	100.0000	25	0.0675	25	100.0000	2	8.0000	1	4.0000	21	84.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000018	43787	29236	66.7687	29160	99.7400	29158	99.9931	76	0.2600	29234	99.9932	178	0.6088	176	98.8764	109	61.2360	6	3.3708	36	20.2247	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000019	42369	33144	78.2270	33041	99.6892	33041	100.0000	103	0.3108	33144	100.0000	105	0.3168	105	100.0000	12	11.4286	9	8.5714	78	74.2857	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000020	41812	37612	89.9550	37437	99.5347	37437	100.0000	175	0.4653	37612	100.0000	180	0.4786	180	100.0000	19	10.5556	26	14.4444	126	70.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000021	40532	23832	58.7980	23827	99.9790	23827	100.0000	5	0.0210	23831	99.9958	48	0.2014	47	97.9167	43	89.5833	5	10.4167	1	2.0833	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000022	40133	32856	81.8678	32851	99.9848	32851	100.0000	5	0.0152	32856	100.0000	6	0.0183	6	100.0000	1	16.6667	2	33.3333	3	50.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000023	36114	31736	87.8773	31730	99.9811	31730	100.0000	6	0.0189	31736	100.0000	7	0.0221	7	100.0000	1	14.2857	0	0.0000	5	71.4286	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000024	25115	21293	84.7820	21243	99.7652	21243	100.0000	50	0.2348	21293	100.0000	51	0.2395	51	100.0000	1	1.9608	2	3.9216	48	94.1176	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000025	24809	19208	77.4235	19147	99.6824	19147	100.0000	61	0.3176	19208	100.0000	62	0.3228	62	100.0000	1	1.6129	5	8.0645	55	88.7097	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000026	19767	13941	70.5266	13931	99.9283	13931	100.0000	10	0.0717	13941	100.0000	11	0.0789	11	100.0000	1	9.0909	9	81.8182	1	9.0909	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000027	18794	14963	79.6158	14960	99.9800	14960	100.0000	3	0.0200	14963	100.0000	5	0.0334	5	100.0000	2	40.0000	3	60.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000028	17812	10814	60.7119	10791	99.7873	10791	100.0000	23	0.2127	10814	100.0000	23	0.2127	23	100.0000	0	0.0000	0	0.0000	23	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000029	17766	13825	77.8172	13811	99.8987	13811	100.0000	14	0.1013	13825	100.0000	14	0.1013	14	100.0000	8	57.1429	4	28.5714	2	14.2857	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000030	12203	9519	78.0054	9519	100.0000	9519	100.0000	0	0.0000	9519	100.0000	2	0.0210	2	100.0000	2	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000031	10176	8901	87.4705	8889	99.8652	8889	100.0000	12	0.1348	8901	100.0000	14	0.1573	14	100.0000	2	14.2857	0	0.0000	12	85.7143	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000032	7598	6481	85.2988	6472	99.8611	6472	100.0000	9	0.1389	6481	100.0000	9	0.1389	9	100.0000	0	0.0000	2	22.2222	7	77.7778	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000033	6179	2775	44.9102	2760	99.4595	2752	99.7101	15	0.5405	2767	99.7117	29	1.0450	21	72.4138	8	27.5862	8	27.5862	8	27.5862	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000034	5934	5446	91.7762	5363	98.4759	5363	100.0000	83	1.5241	5446	100.0000	84	1.5424	84	100.0000	3	3.5714	21	25.0000	60	71.4286	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000035	4119	2895	70.2840	2892	99.8964	2892	100.0000	3	0.1036	2895	100.0000	3	0.1036	3	100.0000	0	0.0000	0	0.0000	3	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000036	2475	1735	70.1010	1725	99.4236	1725	100.0000	10	0.5764	1735	100.0000	10	0.5764	10	100.0000	3	30.0000	4	40.0000	3	30.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000037	2109	1493	70.7918	1480	99.1293	1479	99.9324	13	0.8707	1492	99.9330	15	1.0047	14	93.3333	8	53.3333	2	13.3333	4	26.6667	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000038	878	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000039	782	653	83.5038	645	98.7749	645	100.0000	8	1.2251	653	100.0000	8	1.2251	8	100.0000	0	0.0000	8	100.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000040	662	653	98.6405	652	99.8469	652	100.0000	1	0.1531	653	100.0000	2	0.3063	2	100.0000	1	50.0000	0	0.0000	1	50.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000041	652	452	69.3252	446	98.6726	446	100.0000	6	1.3274	452	100.0000	6	1.3274	6	100.0000	0	0.0000	0	0.0000	6	100.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000042	377	355	94.1645	355	100.0000	355	100.0000	0	0.0000	355	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	119_14673_1_59	ERS558078|SC|contig000043	325	311	95.6923	310	99.6785	310	100.0000	1	0.3215	311	100.0000	1	0.3215	1	100.0000	0	0.0000	0	0.0000	1	100.0000	0	0.0000	0	0.0000	1.0000
