sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
sampleA	sampleB	42_6673_8_24	ERS019422|SC|contig000001	204415	192713	94.2754	192697	99.9917	192697	100.0000	16	0.0083	192713	100.0000	1359	0.7052	1359	100.0000	1356	99.7792	0	0.0000	2	0.1472	9233	100.0000	9231	100.0000	1.0000
sampleA	sampleB	42_6673_8_24	ERS019422|SC|contig000002	128289	111285	86.7456	111269	99.9856	111268	99.9991	16	0.0144	111284	99.9991	683	0.6137	682	99.8536	679	99.4143	2	0.2928	2	0.2928	7625	100.0000	7619	100.0000	1.0000
sampleA	sampleB	42_6673_8_24	ERS019422|SC|contig000003	122125	117377	96.1122	117377	100.0000	117376	99.9991	0	0.0000	117376	99.9991	382	0.3254	381	99.7382	381	99.7382	0	0.0000	1	0.2618	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	42_6673_8_24	ERS019422|SC|contig000004	113908	112524	98.7850	112485	99.9653	112485	100.0000	39	0.0347	112524	100.0000	264	0.2346	264	100.0000	260	98.4848	1	0.3788	2	0.7576	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	42_6673_8_24	ERS019422|SC|contig000005	104736	101860	97.2540	101840	99.9804	101840	100.0000	20	0.0196	101860	100.0000	222	0.2179	222	100.0000	215	96.8468	0	0.0000	7	3.1532	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	42_6673_8_24	ERS019422|SC|contig000006	101771	93851	92.2178	93841	99.9893	93841	100.0000	10	0.0107	93851	100.0000	92	0.0980	92	100.0000	91	98.9130	0	0.0000	1	1.0870	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	42_6673_8_24	ERS019422|SC|contig000007	89589	88009	98.2364	88005	99.9955	88005	100.0000	4	0.0045	88009	100.0000	255	0.2897	255	100.0000	255	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	42_6673_8_24	ERS019422|SC|contig000008	83499	82579	98.8982	82521	99.9298	82520	99.9988	58	0.0702	82578	99.9988	228	0.2761	227	99.5614	226	99.1228	1	0.4386	1	0.4386	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	42_6673_8_24	ERS019422|SC|contig000009	82707	82023	99.1730	82015	99.9902	82015	100.0000	8	0.0098	82023	100.0000	16	0.0195	16	100.0000	12	75.0000	1	6.2500	0	0.0000	0	0.0000	0	0.0000	1.0000
sampleA	sampleB	42_6673_8_24	ERS019422|SC|contig000010	70238	70064	99.7523	70064	100.0000	70064	100.0000	0	0.0000	70064	100.0000	3	0.0043	3	100.0000	3	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
