# simulation command: /data1/gerryt/tracs/scripts/tracs-sim.py -t 5 --genomes ./gtdb_rep_references/GCF_000020225.1_ASM2022v1_genomic.fna ./gtdb_rep_references/GCF_000154285.1_ASM15428v1_genomic.fna ./gtdb_rep_references/GCF_000160055.1_ASM16005v1_genomic.fna ./gtdb_rep_references/GCF_000742135.1_ASM74213v1_genomic.fna ./gtdb_rep_references/GCF_002234575.2_ASM223457v2_genomic.fna ./gtdb_rep_references/GCF_003641185.1_ASM364118v1_genomic.fna ./gtdb_rep_references/GCF_016902345.1_ASM1690234v1_genomic.fna ./gtdb_rep_references/GCF_025147485.1_ASM2514748v1_genomic.fna ./gtdb_rep_references/GCF_025151215.1_ASM2515121v1_genomic.fna ./gtdb_rep_references/GCF_028539415.1_ASM2853941v1_genomic.fna ./gtdb_rep_references/GCF_029023785.1_ASM2902378v1_genomic.fna --tran-genome ./gtdb_rep_references/GCF_002234575.2_ASM223457v2_genomic.fna -d 5 -b 10000 -n 5 -o sim_d5_ref_GCF_002234575.2_ASM223457v2_genomic --prefix sim_d5_ref_GCF_002234575.2_ASM223457v2_genomic
genome,propA,propB,distance
GCF_000020225.1_ASM2022v1_genomic,0.0,0.0,9972
GCF_000154285.1_ASM15428v1_genomic,0.0,0.0,10110
GCF_000160055.1_ASM16005v1_genomic,0.0,0.0,9788
GCF_000742135.1_ASM74213v1_genomic,0.3129772177772253,0.20151439895970516,9912
GCF_002234575.2_ASM223457v2_genomic,0.38398273881085765,0.02442618820432664,5
GCF_003641185.1_ASM364118v1_genomic,0.03254947491403188,0.15883780184658577,10102
GCF_016902345.1_ASM1690234v1_genomic,0.0,0.4406694448210187,9890
GCF_025147485.1_ASM2514748v1_genomic,0.27049056849788505,0.0,10000
GCF_025151215.1_ASM2515121v1_genomic,0.0,0.1633587514405408,10046
GCF_028539415.1_ASM2853941v1_genomic,0.0,0.0,9768
GCF_029023785.1_ASM2902378v1_genomic,0.0,0.011193414727822806,9947
